title,author,date,topic,classified_content
"QLD ‘Market Demand’ climbs past 9,500MW on Thursday 28th December 2023",Paul McArdle,28-12-2023 05:29:00 PM,Summer 2023-24 in the NEM,"The summary of the news ""QLD ‘Market Demand’ climbs past 9,500MW on Thursday 28th December 2023"" posted at 28-12-2023 05:29:00 PM is: The electricity market demand in Queensland reached a significant peak of approximately 9,753MW on December 28th, 2023, amid high temperatures in Brisbane and reduced commercial and industrial activity due to the holiday period. This demand was notably close to breaking the all-time record of 10,119MW set in March 2022. The demand levels were influenced by approximately 50,000 homes in the Gold Coast area still being without power following Christmas storms. The situation also saw some price volatility resulting from the setting of solar generation and the introduction of various peaking power sources. Its relevance level is: Level 2. Its category is: Market reactions. Its timeframe of the event impact on the electricity_market is: Short-term. Its root_cause is: High electricity demand driven by extreme weather conditions. Its accident scale is: Unknown. Its dates are: 28-12-2023. Its affected region is: Queensland, Australia. Its affected key users are: Residential consumers, particularly in the Gold Coast area. Its cause type is: Natural event. Its causes are: High temperatures, Christmas storms leading to power outages, reduced industrial activity."
An initial exploration of QLD’s spike at 14:30 on Thursday 21st December 2023,Paul McArdle,22-12-2023 02:12:00 PM,Summer 2023-24 in the NEM,"The summary of the news ""An initial exploration of QLD’s spike at 14:30 on Thursday 21st December 2023"" posted at 22-12-2023 02:12:00 PM is: On December 21, 2023, an unexpected price spike to $4,164.92/MWh occurred in Queensland at 14:30. The Australian Energy Market Operator (AEMO) reported a non-credible contingency event involving the trip of circuit breakers in the QLD region. The main contributor to the price increase was identified as a reduction in the QNI interconnector's target flow. Lightning near Armidale caused AEMO to reclassify potential simultaneous trips of power lines as credible, invoking new constraints that affected the interconnector's capacity. The Middle Ridge circuit breaker trips also coincided with the event, although lightning around Armidale was the more significant factor. No load shedding was instructed, and the cause remains unknown.

Its relevance level is: Level 1. Its category is: Grid/system instability. The timeframe of the event impact on the electricity_market is: 21/12/2023 until further notice. Its root_cause is: Lightning-induced credible contingency event and grid constraints. Its accident scale is: Unknown. Its dates are: 21/12/2023. Its affected region is: Queensland (QLD), and New South Wales (NSW1). Its affected key users are: Unknown. Its cause type is: Weather-related and grid constraint. Its causes are: Lightning-induced credible contingency classification, trip of circuit breakers at Middle Ridge, QNI interconnector constraint, reclassification of power line trips due to weather conditions."
Very fast FCAS markets continue to grow,Linton Corbet,22-12-2023 01:53:00 PM,2023-10-09 Fast Frequency Response market,"The summary of the news ""Very fast FCAS markets continue to grow"" posted at 22-12-2023 01:53:00 PM is: The introduction of the 1-Second Raise and 1-Second Lower contingency Frequency Control Ancillary Services (FCAS) markets since 9 October has witnessed significant growth in both the capacity and enabled volumes. As of late December, the RAISE1SEC capacity has exceeded 700MW, while LOWER1SEC capacity is approaching 600MW. Regular assessments by the Australian Energy Market Operator (AEMO) have progressively increased requirement caps to ensure adequate availability, with RAISE1SEC’s cap now set at 225MW and LOWER1SEC’s at 100MW. Availability generally surpasses requirement levels, but uncapped RAISE1SEC requirements remain high, highlighting the importance of these caps. A notable diurnal pattern is observed for RAISE1SEC requirements, influenced by PV generation and grid demand variations. Additionally, the Victorian Big Battery's commitment to the System Integrity Protection Scheme affects availability during specific periods, partly compensated by the Torrens Island Battery's deployment. Its relevance level is: Level 2. Its category is: Grid frequency issues. Its timeframe of the event impact on the electricity_market is: From 9 October 2023 onwards. Its root_cause is: Implementation and adjustments in the FCAS markets. Its accident scale is: Unknown. Its dates are: 9 October 2023 to 22 December 2023. Its affected region is: National Electricity Market (NEM) in Australia. Its affected key users are: Energy providers and grid operators. Its cause type is: Market adjustments and operational planning. Its causes are: Introduction of 1-Second Raise and Lower FCAS markets, adjustments to requirement caps by AEMO, diurnal pattern due to PV generation and grid demand, and changes in availability due to battery obligations."
Dan Lee’s reflections about ‘the year that was in 2023’ via the WattClarity insight service,Paul McArdle,22-12-2023 12:06:00 PM,Announcements,"The summary of the news ""Dan Lee’s reflections about ‘the year that was in 2023’ via the WattClarity insight service"" posted on 22-12-2023 12:06:00 PM is: Dan Lee from Global-Roam Pty Ltd shared his reflections on the insights and highlights of 2023 regarding the National Electricity Market via the WattClarity service before taking a break for the holiday period. The reflections include contributions from several internal and guest authors who have provided insights throughout the year. It is a time of appreciation for their work and anticipation for the challenges and developments in 2024. Its relevance level is: Level 3. Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Unknown. Its root_cause is: End-of-year reflections and summary of market activities. Its accident scale is: Unknown. Its dates are: 22-12-2023. Its affected region is: National Electricity Market (NEM) in Australia. Its affected key users are: Unknown. Its cause type is: Reflective summary. Its causes are: Reflections on the past year's insights and market developments."
Barron Gorge Hydro Station damaged and offline after flooding from Cyclone Japser in North Queensland,Dan Lee,20-12-2023 03:23:00 PM,2023-12-20 Barron Gorge after TC Jasper,"The summary of the news ""Barron Gorge Hydro Station damaged and offline after flooding from Cyclone Japser in North Queensland"" posted at 20-12-2023 03:23:00 PM is: The Barron Gorge Hydro power station in North Queensland has been rendered inoperable due to damage from flooding caused by ex-tropical Cyclone Jasper, specifically the destruction of the water intake structure at the Kuranda Weir. This damage has left both units offline since December 18, 2023, with operations expected to resume by July 1, 2024. Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. Its timeframe of the event impact on the electricity_market is: Until July 1, 2024. Its root_cause is: Flooding caused by Cyclone Jasper. Its accident scale is: Unknown. Its dates are: December 18, 2023. Its affected region is: North Queensland. Its affected key users are: Unknown. Its cause type is: Natural disaster. Its causes are: Water intake structure failure due to flooding."
Consultation on ‘Orderly Exit Management Framework Framework’ for coal units,Paul McArdle,16-12-2023 12:19:00 PM,Coal Closure,"The summary of the news ""Consultation on ‘Orderly Exit Management Framework Framework’ for coal units"" posted at 16-12-2023 12:19:00 PM is: The New South Wales Government has released a consultation paper on an opt-in Orderly Exit Management (OEM) Framework designed to manage the transition of coal units in the National Electricity Market (NEM). This framework aims to extend the operational timeframe of thermal generators temporarily to secure energy reliability during the transition to cleaner technologies and an enhanced transmission network. While part of a Federal Government communication, the framework serves to ensure a structured energy market transition, with consultation open until 2 February 2024.; Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its Timeframe of the event impact on the electricity_market is: Unknown. Its root_cause is: Intentional policy development for market transition. Its accident scale is: Unknown. Its dates are: 24 November 2023 (start of consultation) to 2 February 2024 (end of consultation), main date same as posted date. Its affected region is: National Electricity Market (NEM). Its affected key users are: Energy stakeholders and policymakers. Its cause type is: Policy/Administrative measure. Its causes are: Government initiative to manage coal unit transition, consultation for maintaining energy reliability and security."
AEMO forecast for LOR2 in NSW on Tuesday 19th December 2023,Paul McArdle,15-12-2023 10:11:00 AM,2023-12-19-NSW-forecast-LOR2,"The summary of the news ""AEMO forecast for LOR2 in NSW on Tuesday 19th December 2023"" posted at 15-12-2023 10:11:00 AM is: The Australian Energy Market Operator (AEMO) has issued a forecast for a Lack of Reserve Level 2 (LOR2) condition in New South Wales for Tuesday, 19th December 2023. This forecast indicates that between 2:30 PM and 4:00 PM on that day, the capacity reserve requirement will be 730 MW, with only 232 MW available, suggesting a significant shortfall. AEMO is seeking a market response to address this potential reserve shortfall, although it has not yet determined whether it will need to intervene directly. The situation follows a similar LOR2 condition the previous day, raising concerns for the summer period of 2023-24.; Its relevance level is: Level 1. Its category is: Grid/system instability . Its timeframe of the event impact on the electricity_market is: Short-term (specific date of 19th December 2023). Its root_cause is: Anticipated insufficient reserve capacity in the grid. Its accident scale is: Unknown. Its dates are: 15-12-2023, 19-12-2023. Its affected region is: New South Wales. Its affected key users are: Unknown. Its cause type is: Forecast grid reserve shortfall. Its causes are: Anticipated reserve shortfall of 498 MW (capacity requirement of 730 MW vs. available reserve of 232 MW) on 19th December 2023."
AEMO released draft of 2024 Integrated System Plan … cue the media headlines,Paul McArdle,15-12-2023 08:35:00 AM,AEMO Integrated System Plan,"The summary of the news ""AEMO released draft of 2024 Integrated System Plan … cue the media headlines"" posted at 15-12-2023 08:35:00 AM is: The Australian Energy Market Operator (AEMO) has published the draft of its 2024 Integrated System Plan (ISP), emphasizing the need for urgent investment in electricity infrastructure to ensure reliable and secure energy. The draft suggests that significant expansion in firming capacity from dispatchable storage, hydro, and gas-powered generation is necessary by 2050. The release has sparked extensive media coverage and public discussion, highlighting challenges such as the rapid reduction of coal power and the urgency in building replacement capacities. The draft ISP is open for stakeholder consultation until mid-February, with a final version expected by June 2024. Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its timeframe of the event impact on the electricity market is: Medium to Long-term (up to 2050). Its root cause is: Strategic planning for future energy infrastructure. Its accident scale is: Unknown. Its dates is: 15-12-2023. Its affected region is: Australia. Its affected key users is: Industry stakeholders, government, energy consumers. Its cause type is: Policy and planning. Its causes is: Release of draft ISP by AEMO emphasizing investment needs for future energy infrastructure, media reaction, stakeholder consultations."
Belated notice from the AEMO about RERT contracted for yesterday (Thu 14th Dec 2023),Paul McArdle,15-12-2023 07:53:00 AM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""Belated notice from the AEMO about RERT contracted for yesterday (Thu 14th Dec 2023)"" posted at 15-12-2023 07:53:00 AM is: AEMO issued a belated market notice indicating that a reserve contract under the Reliability and Emergency Reserve Trader (RERT) scheme was entered into for the New South Wales region on December 14, 2023, to maintain system reliability amidst high demand. However, no reserve contracts were activated during the specified period from 15:30 to 19:30 hours. Its relevance level is: Level 1. Its category is: grid/system instability. Its timeframe of the event impact on the electricity_market is: short-term, specific to December 14, 2023. Its root_cause is: high electricity demand and system reliability concerns. Its accident scale is: Unknown. Its dates is: 15-12-2023. Its affected region is: New South Wales, Australia. Its affected key users is: Unknown. Its cause type is: System Demand Management. Its causes is: High demand for electricity prompting the need for reserve capacity to ensure system reliability."
Disallowed flow north on VIC1-NSW1 another significant factor in tight supply-demand in NSW + QLD,Paul McArdle,14-12-2023 07:14:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""Disallowed flow north on VIC1-NSW1 another significant factor in tight supply-demand in NSW + QLD"" posted at 14-12-2023 07:14:00 PM is: The article discusses complications arising from the VIC-NSW interconnector, which has been unable to flow north due to constraints, leading to tight supply-demand conditions in New South Wales and Queensland. With multiple constraint equations invoked, including 'N>>NIL_970_051', 'N>>NIL_4', and 'N>>NIL_998', the interconnector was effectively prevented from exporting electricity northward over a crucial period. This restriction could have contributed to the necessity of activating the Reliability and Emergency Reserve Trader (RERT) mechanism. The inability to capture south-westerly generation efficiently to the Sydney load center is highlighted as a key issue; Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its timeframe of the event impact on the electricity market is: Immediate. Its root cause is: Transmission constraints and negative settlement residues. Its accident scale is: Unknown. Its dates are: 14-12-2023. Its affected region is: New South Wales (NSW) and Queensland (QLD). Its affected key users are: Unknown. Its cause type is: Interconnector flow restriction. Its causes are: Negative settlement residues, multiple constraint equations, inability to export northward on the VIC-NSW interconnector."
"Wind production ramps down in NSW, coincident with Increased Demand (and then Actual LOR2)",Paul McArdle,14-12-2023 06:34:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""Wind production ramps down in NSW, coincident with Increased Demand (and then Actual LOR2)"" posted at 14-12-2023 06:34:00 PM is: The report highlights a significant reduction in wind power generation in New South Wales (NSW), which contributed to the region reaching 'Actual LOR2' status due to increased electricity demand and other factors, such as restricted energy flow between Victoria and NSW. Between 15:45 and 18:25, wind production declined significantly from 1,463MW to 918MW, exacerbating the supply-demand gap in NSW. Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. Its timeframe of the event impact on the electricity_market is: Immediate. Its root_cause is: Rapid decline in wind generation. Its accident scale is: Unknown. Its dates are: 14-12-2023. Its affected region is: New South Wales (NSW). Its affected key users are: Unknown. Its cause type is: Natural variability in wind generation. Its causes are: Rapid drop in wind power generation, increased electricity demand, restricted energy flow between regions."
Actual LOR2 in NSW from 17:30 on Thursday 14th December 2023,Paul McArdle,14-12-2023 06:15:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""Actual LOR2 in NSW from 17:30 on Thursday 14th December 2023"" posted at 14-12-2023 06:15:00 PM is: The Australian Energy Market Operator (AEMO) declared an Actual Lack Of Reserve Level 2 (LOR2) condition in New South Wales due to increased market demand on 14 December 2023. This emergency reserve notice was issued due to the reserve capacity required being 690 MW, while the minimum available was only 678 MW. However, the condition was canceled shortly at 18:10 after market response proved sufficient to address the deficit; Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/System Instability. Its timeframe of the event impact on the electricity_market is: Immediate impact on 14 December 2023 but resolved within approximately 40 minutes. Its root_cause is: Rapid increase in electricity demand leading to a reserve shortfall. Its accident scale is: Regional (NSW). Its dates are: 14 December 2023. Its affected region is: New South Wales (NSW). Its affected key users are: Electricity consumers in NSW. Its cause type is: Operational/system condition triggered by high demand. Its causes are: Actual LOR2 condition due to insufficient reserve capacity in response to increased electricity demand in NSW."
"NSW ‘Market Demand’ climbs past 13,000MW – and IRPM drops – but prices stay moderate",Paul McArdle,14-12-2023 06:02:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""NSW ‘Market Demand’ climbs past 13,000MW – and IRPM drops – but prices stay moderate"" posted at 14-12-2023 06:02:00 PM is: In New South Wales (NSW), the electricity market demand has risen above 13,000MW, yet the spot prices remain moderate, contrary to earlier predictions. The Inter-regional Reserve Plant Margin (IRPM) between New South Wales and Queensland has decreased to 14% due to constrained interconnectors preventing flow between VIC1-NSW1 regions. The highest point for the electricity price today reached $662.97/MWh.; Its relevance level is: Level 1. Its category is: grid/system instability. Its timeframe of the event impact on the electricity market is: Immediate to short-term impact. Its root_cause is: Constrained VIC1-NSW1 interconnector and demand pressure. Its accident scale is: Unknown. Its dates is: 14-12-2023. Its affected region is: New South Wales and Queensland interconnected regions. Its affected key users is: Electricity consumers in NSW and QLD. Its cause type is: Grid/system operational constraints. Its causes is: High market demand, interconnector constraints due to grid stability equations, and moderate price forecasts."
"NSW ‘Market Demand’ squeezes 12,500MW as price passes $500/MWh",Paul McArdle,14-12-2023 04:54:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""NSW ‘Market Demand’ squeezes 12,500MW as price passes $500/MWh"" posted at 14-12-2023 04:54:00 PM is: The article discusses a significant market demand in New South Wales (NSW), where the electricity demand peaked at 12,464MW, leading to a spot price exceeding $500/MWh. Initially expected to reach 13,000MW, the demand forecast was revised down, and while a Low Reserve Condition (LOR2) was initially warned, it was downgraded to LOR1, indicating a less severe than anticipated stress on the system; Its relevance level is: Level 2 (Relevant). Its category is: Market reactions. Its timeframe of the event impact on the electricity_market is: Immediate short-term impact (same day). Its root_cause is: High electricity demand in response to hot weather conditions. Its accident scale is: Unknown. Its dates is: 14-12-2023. Its affected region is: New South Wales (NSW), Australia. Its affected key users is: General electricity consumers and market participants in NSW. Its cause type is: High demand driven by temperature/weather conditions. Its causes is: High electricity demand due to warm weather, leading to elevated spot prices and reserve condition warnings."
RERT negotiations underway in NSW … at the same time as the NSW spot price is negative and forecast spikes have disappeared,Paul McArdle,14-12-2023 04:22:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""RERT negotiations underway in NSW … at the same time as the NSW spot price is negative and forecast spikes have disappeared"" posted at 14-12-2023 04:22:00 PM is: The article discusses the situation in the New South Wales electricity market where the Australian Energy Market Operator (AEMO) was preparing to initiate Reliability and Emergency Reserve Trader (RERT) negotiations due to anticipated high demand on December 14, 2023. This occurred despite currently negative spot prices and a moderation of forecast price spikes after sunset. Such conditions underscore the volatility and unpredictability in the National Electricity Market (NEM). Its relevance level is: Level 2. Its category is: market reactions; Its timeframe of the event impact on the electricity_market is: Short-term. Its root_cause is: Predicted high demand and price volatility concerns. Its accident scale is: Unknown. Its dates are: 14-12-2023. Its affected region is: New South Wales (NSW). Its affected key users are: Electricity consumers in New South Wales. Its cause type is: Market operational adjustments. Its causes are: Anticipated electricity demand increase, preparations for potential price volatility, and negative spot prices."
RERT negotiations commenced in NSW by AEMO on Thursday 14th December 2023,Dan Lee,14-12-2023 03:50:00 PM,"2023-12-14-NSW high demand, LOR and RERT","The summary of the news ""RERT negotiations commenced in NSW by AEMO on Thursday 14th December 2023"" posted at 14-12-2023 03:50:00 PM is: The Australian Energy Market Operator (AEMO) has initiated negotiations for Reliability and Emergency Reserve Trader (RERT) contracts in New South Wales (NSW) due to high electricity demand and tight supply conditions. The decision follows a market notice indicating the intention to seek additional reserves for the period between 15:30 and 19:30 on December 14, 2023. The region experienced a surge in market demand, exceeding 11,000MW, with forecasts nearing 13,000MW by evening, amidst high temperatures of around 39°C in Sydney. Its relevance level is: Level 2. Its category is: Market reactions. Its timeframe of the event impact on the electricity market is: Short-term, affecting the evening of December 14, 2023. Its root cause is: High electricity demand combined with tight supply conditions. Its accident scale is: Unknown. Its dates are: 14-12-2023. Its affected region is: New South Wales, Australia. Its affected key users are: Electricity consumers in NSW. Its cause type is: Demand surge. Its causes are: High temperatures, Increased electricity demand, Tight supply-demand balance."
